replication,SCRAM
1,V014410002S90120341300012
1,V016740861M18060595090011
1,V016900008S50080029810012
1,V016130081M73060300440012
1,V011440009S53490978130011
1,V019940140M17060990750013
1,V015340140M56060868440013
1,V014740861M57060727770013
1,V017140861M10060204330013
1,V015840140M17060745860013
1,V016700006S11061609040011
1,V017230081M73060444070011
1,V016340140M56060212240012
1,V010910009S97191210980012
1,V017430081M73060557750012
1,V012340140M17060855460011
1,V013030081M73060597250011
1,V010740140M56060550810011
1,V019130081M73060707950011
1,V016240907M13240079110013
1,V012630081M95060216480013
1,V018330068M31040554950011
1,V015540140M56060675730011
1,V019300006S93060705700011
1,V019430081M73060831630013
1,V019100006S31061088140013
1,V017240140M56060402320012
1,V010330081M95060785280013
1,V014010829M78260226100012
1,V016140140M56060673040012
1,V016630081M73060960420013
1,V013740861M10060155820013
1,V018730081M73060932420012
1,V013900009S90090254260011
1,V010140140M56060466140113
1,V011340861M31060692830011
1,V017730081M95060252390013
1,V013340861M57060810370011
1,V014950003S50530900100011
1,V014720007S35270437240012
1,V015340140M17060737560011
1,V014330103M68120021350012
1,V015840861M57060987760011
1,V010100005S70050621010011
1,V016430081M95060539480012
1,V019240140M17060094260013
1,V016010006S10160651800012
1,V017940861M31060098830011
1,V010100008S13080531030113
1,V018030081M73060673230013
1,V015000006S91060575200011
1,V017440140M56060776810012
1,V010400006S77060562520012
1,V014440861M18060420490011
1,V010440140M56060831710012
1,V015440861M10060221410011
1,V018040140M56060683220013
1,V014800002S02020182820013
1,V018430081M73060990550011
1,V019220002S78220367570011
1,V017130103M99120248880013
1,V015030081M73060156630013
1,V019140140M17060952480011
1,V011330081M73060177150013
1,V015420001S76210652520012
1,V019140861M10060465320012
1,V013340140M56060247330011
1,V018030081M73060688600011
1,V018740861M14060618060013
1,V018640140M17060703360011
1,V015740861M14060725060012
1,V014620002S39220681770012
1,V010130005S75350439390111
1,V010130081M73060371620011
1,V010230068M31040967800013
1,V019640140M56060326100013
1,V014940861M10060239520013
1,V014940861M57060274080013
1,V014330003S90330971020011
1,V011040140M56060646220012
1,V012130081M95060574590013
1,V011520000S90202907490012
1,V013030987M10421580140013
1,V011840861M31060327440012
1,V010240140M56060114420013
1,V010230081M73060154360011
1,V013830009S39390018750013
1,V018440140M17060605190013
1,V016900006S37060321320012
1,V016540140M17060275860011
1,V013530081M73060039160011
1,V019700006S58060953920011
1,V013800006S37060620120012
1,V019040861M57060237170012
1,V012230081M73060980920011
1,V010640140M56060704440011
1,V015130081M73060135730011
1,V010140861M31060965450012
1,V016110005S30150671610013
1,V014330081M95060104880013
1,V010840861M57060310170013
1,V013530081M95060292870011
1,V014250003S11530630010011
1,V015740140M56060252110012
1,V019140140M17060082460012
1,V011810464M52250188470011
1,V010640861M31060605530011
1,V016540861M10060596900012
1,V010700006S77060267420013
1,V017520426M10482205860013
1,V019740861M10060654510013
1,V011040861M31060067350013
1,V013120006S75261311050011
1,V013110109M12481823150011
1,V018300001S98010676550012
1,V013040140M56060271900011
1,V010410009S31190034400012
1,V013030002S32320699870013
1,V019340140M56060866000012
1,V019140861M57060691760012
1,V018140861M57060771670011
1,V015310986M98170116660012
1,V017040140M17060290450012
1,V017340907M73540954000013
1,V014640861M31060671340013
1,V014940861M10060135910011
1,V016830081M73060414010011
1,V012040140M56060175440013
1,V019230081M73060582410012
1,V015740861M10060772320013
1,V015000001S37010345340011
1,V018540861M31060512650011
1,V015040861M10060855920012
1,V017940005S36450843760011
1,V014140140M56060893820013
1,V010440861M57060212860011
1,V012600006S79060299530011
1,V019640861M10060642710012
1,V018740861M31060716240012
1,V010110003S31133906140112
1,V018740140M17060259660011
1,V011340861M57060841080013
1,V012640861M10060607520012
1,V013930081M95060472980013
1,V012040861M10060347420012
1,V015900006S92060267500012
1,V016240861M10060682300011
1,V018930987M71420523800013
1,V014220008S19280485560011
