method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
NSB,25,8.851339640730586e-4,0.02975120105261397,-0.021127434143287292,4.4636847347894165e-4,1,0.40412226719210803,0.4252497013353953,186,MA,-0.02112743414328727
NSB,26,0.001300786960760139,0.036066424285755565,-0.010258362665493204,1.0523400457678484e-4,0.8,0.42158281447534224,0.4318411771408354,195,MI,-0.010258362665493181
NSB,27,0.0018846164416848432,0.04341216928103044,-0.0036484433680036123,1.3311139009529543e-5,0.9,0.3343184569532223,0.33796690032122595,145,MN,-0.003648443368003629
NSB,28,0.0024279005250401123,0.049273730577662905,0.008567163714159448,7.33962941052103e-5,0.9,0.3687219158450339,0.36015475213087444,84,MS,0.008567163714159443
NSB,29,0.0017197584919680503,0.041469970966568695,0.01725992708557832,2.979050829994801e-4,0.9,0.3391714205940401,0.32191149350846177,114,MO,0.01725992708557833
NSB,30,9.268255937097416e-4,0.030443810433481246,0.024595889641597556,6.049577872616459e-4,1,0.3163234811002127,0.29172759145861515,118,MT,0.024595889641597535
NSB,31,0.0018206233588689271,0.042668763268566,0.03776959806694498,0.001426542538138574,1,0.3339066450466668,0.2961370469797218,112,NE,0.037769598066944965
NSB,32,0.0036751531396251604,0.06062304132609284,-0.05041664005645828,0.002541837594582474,0.8,0.43245377628813525,0.48287041634459354,116,NV,-0.050416640056458295
NSB,33,9.090789845396562e-4,0.030150936710816402,-0.019983765176488484,3.993508706290338e-4,1,0.32910596634445816,0.34908973152094663,135,NH,-0.019983765176488477
NSB,34,0.0017892717843801867,0.042299784684797,-0.015842513638993316,2.5098523840168924e-4,0.9,0.453885567106293,0.4697280807452863,135,NJ,-0.015842513638993305
NSB,35,0.001277908534761898,0.035747846575170064,0.002183567522145086,4.76796712376683e-6,1,0.39945860552417883,0.39727503800203373,126,NM,0.0021835675221451023
NSB,36,0.002536709421504621,0.05036575643733172,-0.018180309876329133,3.305236671993506e-4,0.5,0.4251696131930023,0.4433499230693314,168,NY,-0.018180309876329126
NSB,37,0.004020414111208391,0.06340673553502334,0.010807871299154804,1.1681008201909414e-4,0.3,0.3311172065004892,0.3203093352013344,139,NC,0.010807871299154781
NSB,38,7.111388417380334e-4,0.026667186610852548,0.02081700809141307,4.333478258779572e-4,1,0.33209129862045855,0.3112742905290455,77,ND,0.02081700809141307
